locality_num,state_abbr,locality_name,zipcode,work_gpci,pe_gpci,mp_gpci
01001,AL,AUTAUGA,,0.968,0.890,0.425
01003,AL,BALDWIN,30511,0.965,0.857,0.528
01005,AL,BARBOUR,,0.967,0.799,0.325
01007,AL,BIBB,,0.983,0.841,0.317
01009,AL,BLOUNT,25025,0.983,0.847,0.468
01011,AL,BULLOCK,27507,0.967,0.800,0.394
01013,AL,BUTLER,36904,0.967,0.814,0.459
01015,AL,CALHOUN,30701,0.967,0.830,0.521
01017,AL,CHAMBERS,86502,0.960,0.846,0.469
01019,AL,CHEROKEE,35616,0.960,0.817,0.283
01021,AL,CHILTON,76632,0.983,0.855,0.393
01023,AL,CHOCTAW,72028,0.967,0.776,0.359
01025,AL,CLARKE,,0.967,0.800,0.314
01027,AL,CLAY,35048,0.960,0.799,0.405
01029,AL,CLEBURNE,76031,0.960,0.822,0.261
01031,AL,COFFEE,,0.967,0.822,0.492
01033,AL,COLBERT,30628,0.963,0.838,0.476
01035,AL,CONECUH,,0.967,0.797,0.391
01037,AL,COOSA,30129,0.960,0.799,0.398
01039,AL,COVINGTON,30014,0.967,0.804,0.459
01041,AL,CRENSHAW,38621,0.967,0.796,0.291
01043,AL,CULLMAN,35055,0.961,0.839,0.497
01045,AL,DALE,62829,0.967,0.809,0.254
01047,AL,DALLAS,30132,0.967,0.816,0.424
01049,AL,DEKALB,60115,0.960,0.807,0.479
01051,AL,ELMORE,36025,0.968,0.872,0.381
01053,AL,ESCAMBIA,,0.967,0.804,0.543
01055,AL,ETOWAH,72428,0.967,0.824,0.520
01057,AL,FAYETTE,35555,0.961,0.803,0.461
01059,AL,FRANKLIN,36444,0.961,0.797,0.515
01061,AL,GENEVA,36340,0.961,0.799,0.430
01063,AL,GREENE,50636,0.967,0.850,0.475
01065,AL,HALE,48739,0.974,0.815,0.316
01067,AL,HENRY,61537,0.961,0.792,0.379
01069,AL,HOUSTON,35572,0.961,0.824,0.616
01071,AL,JACKSON,36545,0.960,0.807,0.455
01073,AL,JEFFERSON,36745,0.983,0.905,0.617
01075,AL,LAMAR,72846,0.961,0.787,0.083
01077,AL,LAUDERDALE,39335,0.963,0.836,0.555
01079,AL,LAWRENCE,66044,0.977,0.822,0.309
01081,AL,LEE,32059,0.974,0.871,0.554
01083,AL,LIMESTONE,4750,0.999,0.863,0.506
01085,AL,LOWNDES,63951,0.968,0.792,0.286
01087,AL,MACON,31201,0.967,0.813,0.204
01089,AL,MADISON,35756,0.999,0.896,0.562
01091,AL,MARENGO,60152,0.967,0.819,0.500
01093,AL,MARION,36756,0.961,0.802,0.415
01095,AL,MARSHALL,99585,0.960,0.813,0.433
01097,AL,MOBILE,36601,0.967,0.867,0.659
01099,AL,MONROE,72108,0.967,0.800,0.379
01101,AL,MONTGOMERY,36101,0.968,0.883,0.620
01103,AL,MORGAN,39866,0.977,0.845,0.494
01105,AL,PERRY,72125,0.967,0.799,0.355
01107,AL,PICKENS,71662,0.974,0.767,0.329
01109,AL,PIKE,3780,0.967,0.836,0.494
01111,AL,RANDOLPH,36792,0.960,0.820,0.246
01113,AL,RUSSELL,72139,0.967,0.858,0.648
01115,AL,ST. CLAIR,,0.983,0.887,0.356
01117,AL,SHELBY,35143,0.983,0.933,0.473
01119,AL,SUMTER,29150,0.967,0.825,0.430
01121,AL,TALLADEGA,35160,0.960,0.823,0.424
01123,AL,TALLAPOOSA,30176,0.960,0.819,0.541
01125,AL,TUSCALOOSA,35401,0.974,0.862,0.563
01127,AL,WALKER,52352,0.983,0.841,0.524
01129,AL,WASHINGTON,71862,0.967,0.791,0.597
01131,AL,WILCOX,68982,0.967,0.793,0.502
01133,AL,WINSTON,30187,0.961,0.807,0.329
02013,AK,ALEUTIANS EAST,,1.008,0.960,0.202
02016,AK,ALEUTIANS WEST,,1.008,1.083,0.058
02020,AK,ANCHORAGE,99501,1.008,1.046,0.562
02050,AK,BETHEL,99559,1.008,1.082,0.359
02060,AK,BRISTOL BAY,,1.008,0.974,0.341
02063,AK,CHUGACH,,1.008,1.019,0.379
02066,AK,COPPER RIVER,,1.008,0.939,0.199
02068,AK,DENALI,,1.008,0.955,0.057
02070,AK,DILLINGHAM,99576,1.008,0.983,0.402
02090,AK,FAIRBANKS NORTH STAR,,1.004,1.037,0.449
02100,AK,HAINES,99827,1.008,0.945,0.191
02105,AK,HOONAH-ANGOON,,1.008,1.012,0.334
02110,AK,JUNEAU,99801,1.008,1.064,0.419
02122,AK,KENAI PENINSULA,,1.008,0.981,0.424
02130,AK,KETCHIKAN GATEWAY,,1.008,1.028,0.534
02150,AK,KODIAK ISLAND,,1.008,1.095,0.290
02158,AK,KUSILVAK,,1.008,0.934,0.038
02164,AK,LAKE AND PENINSULA,,1.008,0.949,0.318
02170,AK,MATANUSKA-SUSITNA,,1.008,1.015,0.493
02180,AK,NOME,99762,1.008,1.028,0.274
02185,AK,NORTH SLOPE,,1.008,1.047,0.353
02188,AK,NORTHWEST ARCTIC,,1.008,1.057,0.411
02195,AK,PETERSBURG,99833,1.008,0.970,0.235
02198,AK,PRINCE OF WALES-HYDER,,1.008,0.949,0.330
02220,AK,SITKA,99835,1.008,1.020,0.478
02230,AK,SKAGWAY,99840,1.008,1.051,0.010
02240,AK,SOUTHEAST FAIRBANKS,,1.008,0.965,0.348
02275,AK,WRANGELL,99929,1.008,0.959,0.346
02282,AK,YAKUTAT,99689,1.008,1.016,0.889
02290,AK,YUKON-KOYUKUK,,1.008,0.952,0.320
04001,AZ,APACHE,73006,0.961,0.846,0.784
04003,AZ,COCHISE,85606,0.970,0.884,0.763
04005,AZ,COCONINO,,0.963,0.990,1.004
04007,AZ,GILA,88038,0.961,0.920,0.834
04009,AZ,GRAHAM,36263,0.961,0.891,0.820
04011,AZ,GREENLEE,,0.961,0.838,0.673
04012,AZ,LA PAZ,,0.961,0.872,0.997
04013,AZ,MARICOPA,85138,0.990,0.958,0.874
04015,AZ,MOHAVE,,0.959,0.897,0.873
04017,AZ,NAVAJO,87328,0.961,0.893,0.846
04019,AZ,PIMA,85543,0.970,0.942,0.886
04021,AZ,PINAL,,0.990,0.891,0.668
04023,AZ,SANTA CRUZ,95060,0.961,0.878,0.740
04025,AZ,YAVAPAI,,0.964,0.951,0.817
04027,AZ,YUMA,85364,0.965,0.906,0.861
05001,AR,ARKANSAS,,0.939,0.822,0.395
05003,AR,ASHLEY,62808,0.939,0.804,0.371
05005,AR,BAXTER,50028,0.928,0.797,0.543
05007,AR,BENTON,72015,0.967,0.892,0.496
05009,AR,BOONE,81025,0.928,0.783,0.420
05011,AR,BRADLEY,71826,0.939,0.803,0.359
05013,AR,CALHOUN,30701,0.939,0.840,0.359
05015,AR,CARROLL,51401,0.928,0.795,0.280
05017,AR,CHICOT,,0.939,0.766,0.447
05019,AR,CLARK,80428,0.947,0.818,0.426
05021,AR,CLAY,35048,0.944,0.797,0.397
05023,AR,CLEBURNE,76031,0.928,0.801,0.454
05025,AR,CLEVELAND,35049,0.960,0.843,0.288
05027,AR,COLUMBIA,36319,0.939,0.811,0.426
05029,AR,CONWAY,72032,0.947,0.808,0.491
05031,AR,CRAIGHEAD,,0.947,0.822,0.538
05033,AR,CRAWFORD,81415,0.943,0.829,0.322
05035,AR,CRITTENDEN,41030,0.974,0.871,0.362
05037,AR,CROSS,29436,0.944,0.807,0.267
05039,AR,DALLAS,30132,0.939,0.797,0.437
05041,AR,DESHA,72527,0.939,0.796,0.405
05043,AR,DREW,38737,0.939,0.819,0.342
05045,AR,FAULKNER,20632,0.950,0.858,0.511
05047,AR,FRANKLIN,36444,0.947,0.813,0.260
05049,AR,FULTON,36446,0.928,0.769,0.268
05051,AR,GARLAND,66741,0.950,0.783,0.498
05053,AR,GRANT,35747,0.950,0.834,0.190
05055,AR,GREENE,50636,0.944,0.820,0.395
05057,AR,HEMPSTEAD,11549,0.939,0.821,0.359
05059,AR,HOT SPRING,,0.947,0.818,0.325
05061,AR,HOWARD,81233,0.939,0.821,0.442
05063,AR,INDEPENDENCE,93526,0.928,0.791,0.573
05065,AR,IZARD,,0.928,0.767,0.256
05067,AR,JACKSON,36545,0.928,0.778,0.329
05069,AR,JEFFERSON,36745,0.960,0.858,0.494
05071,AR,JOHNSON,72741,0.947,0.821,0.410
05073,AR,LAFAYETTE,36862,0.939,0.816,0.111
05075,AR,LAWRENCE,66044,0.944,0.809,0.127
05077,AR,LEE,32059,0.944,0.781,0.312
05079,AR,LINCOLN,35096,0.960,0.816,0.267
05081,AR,LITTLE RIVER,36550,0.955,0.829,0.428
05083,AR,LOGAN,35098,0.947,0.812,0.213
05085,AR,LONOKE,72086,0.950,0.840,0.247
05087,AR,MADISON,35756,0.967,0.832,0.926
05089,AR,MARION,36756,0.928,0.788,0.080
05091,AR,MILLER,65707,0.955,0.851,0.318
05093,AR,MISSISSIPPI,,0.944,0.813,0.365
05095,AR,MONROE,72108,0.944,0.794,0.131
05097,AR,MONTGOMERY,36101,0.947,0.801,0.091
05099,AR,NEVADA,50201,0.939,0.832,0.284
05101,AR,NEWTON,36352,0.928,0.760,0.069
05103,AR,OUACHITA,,0.939,0.819,0.377
05105,AR,PERRY,72125,0.950,0.817,0.108
05107,AR,PHILLIPS,4966,0.944,0.791,0.389
05109,AR,PIKE,3780,0.947,0.803,0.284
05111,AR,POINSETT,,0.947,0.784,0.222
05113,AR,POLK,65727,0.947,0.825,0.507
05115,AR,POPE,38658,0.947,0.829,0.402
05117,AR,PRAIRIE,39756,0.944,0.756,0.262
05119,AR,PULASKI,30451,0.950,0.872,0.576
05121,AR,RANDOLPH,36792,0.944,0.799,0.278
05123,AR,ST. FRANCIS,,0.944,0.818,0.452
05125,AR,SALINE,71070,0.950,0.863,0.498
05127,AR,SCOTT,72142,0.947,0.809,0.316
05129,AR,SEARCY,72143,0.928,0.776,0.053
05131,AR,SEBASTIAN,32958,0.943,0.837,0.528
05133,AR,SEVIER,84766,0.939,0.801,0.331
05135,AR,SHARP,,0.928,0.767,0.179
05137,AR,STONE,41567,0.928,0.781,0.467
05139,AR,UNION,60180,0.939,0.825,0.430
05141,AR,VAN BUREN,72956,0.928,0.779,0.375
05143,AR,WASHINGTON,71862,0.967,0.881,0.546
05145,AR,WHITE,30184,0.928,0.790,0.433
05147,AR,WOODRUFF,85942,0.928,0.768,0.335
05149,AR,YELL,,0.947,0.807,0.460
06001,CA,ALAMEDA,94501,1.102,1.344,0.399
06003,CA,ALPINE,35014,1.002,1.018,0.620
06005,CA,AMADOR,,1.002,1.031,0.387
06007,CA,BUTTE,59701,1.008,1.027,0.439
06009,CA,CALAVERAS,,1.002,1.032,0.345
06011,CA,COLUSA,95932,1.000,0.982,0.395
06013,CA,CONTRA COSTA,,1.102,1.316,0.397
06015,CA,DEL NORTE,81132,0.999,0.979,0.452
06017,CA,EL DORADO,71730,1.038,1.132,0.378
06019,CA,FRESNO,93650,1.003,1.006,0.397
06021,CA,GLENN,95943,1.000,0.983,0.293
06023,CA,HUMBOLDT,86329,0.999,1.012,0.468
06025,CA,IMPERIAL,92251,1.011,0.950,0.516
06027,CA,INYO,,1.002,1.002,0.372
06029,CA,KERN,,1.010,0.934,0.563
06031,CA,KINGS,,0.999,0.956,0.431
06033,CA,LAKE,48632,0.999,0.998,0.441
06035,CA,LASSEN,,1.000,0.976,0.501
06037,CA,LOS ANGELES,90001,1.041,1.139,0.651
06039,CA,MADERA,93636,0.995,0.964,0.233
06041,CA,MARIN,,1.102,1.403,0.427
06043,CA,MARIPOSA,95338,1.002,0.999,0.328
06045,CA,MENDOCINO,95460,0.999,1.026,0.490
06047,CA,MERCED,95340,1.002,0.941,0.372
06049,CA,MODOC,62261,1.000,0.947,0.229
06051,CA,MONO,,1.002,1.028,0.405
06053,CA,MONTEREY,93940,1.028,1.135,0.362
06055,CA,NAPA,94558,1.047,1.248,0.502
06057,CA,NEVADA,50201,1.000,1.061,0.365
06059,CA,ORANGE,92856,1.041,1.191,0.631
06061,CA,PLACER,,1.038,1.179,0.434
06063,CA,PLUMAS,,1.000,0.998,0.201
06065,CA,RIVERSIDE,35135,1.017,1.025,0.809
06067,CA,SACRAMENTO,95811,1.038,1.142,0.495
06069,CA,SAN BENITO,78586,1.120,1.248,0.346
06071,CA,SAN BERNARDINO,92401,1.017,1.005,0.850
06073,CA,SAN DIEGO,92101,1.033,1.183,0.516
06075,CA,SAN FRANCISCO,94102,1.102,1.411,0.444
06077,CA,SAN JOAQUIN,93660,1.018,1.034,0.441
06079,CA,SAN LUIS OBISPO,93401,1.012,1.130,0.377
06081,CA,SAN MATEO,94401,1.102,1.467,0.378
06083,CA,SANTA BARBARA,93101,1.034,1.140,0.463
06085,CA,SANTA CLARA,95050,1.120,1.429,0.380
06087,CA,SANTA CRUZ,95060,1.026,1.204,0.339
06089,CA,SHASTA,96087,1.005,1.000,0.424
06091,CA,SIERRA,,1.000,1.033,N/A
06093,CA,SISKIYOU,,1.000,0.974,0.450
06095,CA,SOLANO,87746,1.040,1.229,0.450
06097,CA,SONOMA,95476,1.033,1.207,0.442
06099,CA,STANISLAUS,,1.013,1.055,0.453
06101,CA,SUTTER,95982,1.000,0.984,0.384
06103,CA,TEHAMA,96090,1.000,0.999,0.356
06105,CA,TRINITY,35673,1.000,0.974,0.199
06107,CA,TULARE,93274,1.002,0.975,0.445
06109,CA,TUOLUMNE,95379,1.002,1.013,0.482
06111,CA,VENTURA,93001,1.030,1.163,0.603
06113,CA,YOLO,95697,1.038,1.149,0.404
06115,CA,YUBA,,1.000,0.962,0.566
08001,CO,ADAMS,41201,1.029,1.083,0.862
08003,CO,ALAMOSA,81101,0.980,0.895,0.826
08005,CO,ARAPAHOE,80802,1.029,1.104,0.741
08007,CO,ARCHULETA,,0.983,0.952,0.431
08009,CO,BACA,,0.980,0.859,0.721
08011,CO,BENT,88314,0.980,0.883,0.582
08013,CO,BOULDER,80301,1.040,1.124,0.690
08014,CO,BROOMFIELD,80020,1.029,1.158,0.691
08015,CO,CHAFFEE,63740,0.983,0.973,0.509
08017,CO,CHEYENNE,73628,0.980,0.904,0.945
08019,CO,CLEAR CREEK,47426,1.029,1.009,0.318
08021,CO,CONEJOS,81129,0.980,0.865,0.725
08023,CO,COSTILLA,87524,0.980,0.875,0.540
08025,CO,CROWLEY,81033,0.980,0.942,0.638
08027,CO,CUSTER,40115,0.980,0.916,0.695
08029,CO,DELTA,36258,0.983,0.922,0.791
08031,CO,DENVER,80201,1.029,1.115,0.710
08033,CO,DOLORES,81323,0.983,0.923,0.014
08035,CO,DOUGLAS,35964,1.029,1.140,0.789
08037,CO,EAGLE,99738,0.997,1.111,0.883
08039,CO,ELBERT,80106,1.029,1.018,0.567
08041,CO,EL PASO,72045,1.004,1.017,0.730
08043,CO,FREMONT,94536,0.983,0.941,0.584
08045,CO,GARFIELD,72732,0.997,1.020,0.829
08047,CO,GILPIN,,1.029,1.053,0.403
08049,CO,GRAND,,0.997,1.016,0.702
08051,CO,GUNNISON,81230,0.983,0.944,0.651
08053,CO,HINSDALE,60521,0.983,0.932,0.906
08055,CO,HUERFANO,,0.980,0.900,0.752
08057,CO,JACKSON,36545,0.997,0.920,0.431
08059,CO,JEFFERSON,36745,1.029,1.090,0.691
08061,CO,KIOWA,80117,0.980,0.909,0.661
08063,CO,KIT CARSON,80825,0.980,0.919,0.219
08065,CO,LAKE,48632,0.997,1.060,0.259
08067,CO,LA PLATA,20646,0.983,0.992,0.684
08069,CO,LARIMER,15647,1.015,1.039,0.750
08071,CO,LAS ANIMAS,81054,0.980,0.911,0.678
08073,CO,LINCOLN,35096,0.980,0.886,0.766
08075,CO,LOGAN,35098,0.980,0.909,0.726
08077,CO,MESA,85201,0.984,0.929,0.803
08079,CO,MINERAL,96063,0.980,1.028,0.615
08081,CO,MOFFAT,81143,0.997,0.953,0.713
08083,CO,MONTEZUMA,31063,0.983,0.932,0.526
08085,CO,MONTROSE,36559,0.983,0.931,0.719
08087,CO,MORGAN,39866,0.980,0.926,0.652
08089,CO,OTERO,,0.980,0.884,0.654
08091,CO,OURAY,81427,0.983,0.989,0.396
08093,CO,PARK,67751,1.029,1.132,0.241
08095,CO,PHILLIPS,4966,0.980,0.906,0.430
08097,CO,PITKIN,81241,0.997,1.135,0.944
08099,CO,PROWERS,,0.980,0.869,0.569
08101,CO,PUEBLO,81001,0.986,0.930,0.766
08103,CO,RIO BLANCO,744,0.997,0.939,1.117
08105,CO,RIO GRANDE,8242,0.980,0.865,0.564
08107,CO,ROUTT,,0.997,1.074,0.774
08109,CO,SAGUACHE,81149,0.980,0.874,0.086
08111,CO,SAN JUAN,901,0.983,0.939,0.565
08113,CO,SAN MIGUEL,93451,0.983,1.011,0.313
08115,CO,SEDGWICK,72465,0.980,0.880,0.722
08117,CO,SUMMIT,72677,0.997,1.150,0.706
08119,CO,TELLER,99778,1.004,0.973,0.651
08121,CO,WASHINGTON,71862,0.980,0.919,0.632
08123,CO,WELD,4285,1.000,0.989,0.683
08125,CO,YUMA,85364,0.980,0.900,0.891
09001,CT,FAIRFIELD,35064,1.027,1.120,N/A
09003,CT,HARTFORD,36344,1.009,0.967,N/A
09005,CT,LITCHFIELD,96117,1.005,1.021,N/A
09007,CT,MIDDLESEX,8846,1.022,1.055,N/A
09009,CT,NEW HAVEN,6501,1.019,1.050,N/A
09011,CT,NEW LONDON,6320,1.012,1.026,N/A
09013,CT,TOLLAND,6084,1.009,0.969,N/A
09015,CT,WINDHAM,6280,1.007,0.997,N/A
09110,CT,CAPITOL PLANNING REGION,,N/A,N/A,1.272
09120,CT,GREATER BRIDGEPORT PLANNING REGION,,N/A,N/A,1.199
09130,CT,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION,,N/A,N/A,1.089
09140,CT,NAUGATUCK VALLEY PLANNING REGION,,N/A,N/A,1.148
09150,CT,NORTHEASTERN CONNECTICUT PLANNING REGION,,N/A,N/A,0.904
09160,CT,NORTHWEST HILLS PLANNING REGION,,N/A,N/A,1.014
